Risk Factor,Early Completion Dates,Project Result,Actual duration
1.2,"[0, 11, 18, 16, 16, 22, 29, 33, 30, 41, 49, 45]",Successful,389
1.0,"[0, 12, 20, 20, 17, 26, 31, 35, 31, 44, 52, 47]",Acceptable,402
1.4,"[0, 17, 26, 24, 22, 29, 37, 38, 37, 48, 54, 53]",Failed,449
0.8,"[0, 10, 18, 15, 14, 21, 25, 31, 27, 39, 43, 43]",Successful,356
1.4,"[0, 15, 23, 20, 20, 27, 35, 39, 34, 51, 59, 57]",Acceptable,426
1.4,"[0, 16, 24, 23, 20, 29, 34, 40, 34, 49, 58, 55]",Acceptable,406
0.8,"[0, 10, 14, 15, 14, 18, 25, 26, 24, 31, 37, 35]",Successful,336
1.0,"[0, 13, 20, 19, 17, 26, 32, 32, 31, 39, 44, 41]",Successful,357
1.2,"[0, 9, 17, 17, 11, 20, 28, 30, 27, 37, 43, 41]",Acceptable,398
1.0,"[0, 15, 21, 23, 20, 28, 33, 35, 34, 43, 49, 47]",Acceptable,397
0.8,"[0, 7, 15, 13, 10, 18, 26, 24, 24, 30, 37, 35]",Successful,365
1.4,"[0, 11, 16, 17, 14, 23, 29, 32, 31, 43, 47, 48]",Failed,434
1.2,"[0, 10, 18, 17, 15, 23, 30, 30, 29, 36, 44, 40]",Successful,383
1.0,"[0, 9, 15, 15, 13, 18, 25, 29, 26, 35, 41, 39]",Acceptable,403
0.8,"[0, 12, 17, 17, 16, 21, 27, 28, 28, 36, 41, 41]",Successful,351
1.4,"[0, 9, 15, 16, 15, 22, 29, 31, 31, 41, 48, 44]",Failed,435
1.2,"[0, 15, 24, 20, 20, 28, 35, 35, 34, 44, 52, 49]",Acceptable,402
0.8,"[0, 11, 18, 18, 16, 21, 26, 27, 27, 39, 44, 42]",Successful,343
1.2,"[0, 8, 14, 13, 13, 17, 24, 26, 25, 34, 41, 39]",Acceptable,396
0.8,"[0, 10, 16, 15, 13, 20, 25, 26, 25, 32, 37, 36]",Successful,336
1.4,"[0, 11, 20, 18, 15, 24, 30, 35, 33, 42, 50, 47]",Acceptable,399
1.2,"[0, 15, 20, 23, 19, 28, 32, 37, 35, 46, 52, 52]",Acceptable,413
1.2,"[0, 17, 24, 25, 20, 30, 37, 38, 37, 47, 52, 50]",Acceptable,395
1.4,"[0, 13, 18, 17, 17, 24, 30, 35, 33, 43, 51, 48]",Acceptable,399
1.0,"[0, 10, 17, 15, 15, 21, 28, 29, 28, 35, 38, 39]",Successful,362
1.2,"[0, 16, 22, 22, 22, 27, 32, 38, 30, 47, 55, 52]",Acceptable,394
1.2,"[0, 16, 21, 23, 22, 27, 34, 38, 33, 44, 48, 49]",Acceptable,412
1.0,"[0, 12, 15, 20, 15, 24, 32, 29, 29, 42, 47, 46]",Successful,380
1.4,"[0, 13, 21, 21, 18, 26, 33, 35, 33, 45, 51, 49]",Failed,453
1.2,"[0, 9, 15, 14, 14, 17, 24, 23, 25, 36, 44, 41]",Acceptable,421
1.4,"[0, 15, 23, 24, 19, 28, 36, 39, 37, 50, 59, 56]",Failed,453
1.2,"[0, 14, 21, 21, 18, 26, 33, 35, 32, 43, 50, 47]",Acceptable,417
